Timestamp,Human readable date,alerts,battery,daily,hourly,maxmin,resets,temp,context_alerts,context_battery,context_daily,context_hourly,context_maxmin,context_resets,context_temp
1611604821399,2021-01-25 12:00:21,0.0,83.0,31.0,8.0,2.0,0.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611601216098,2021-01-25 11:00:16,0.0,82.0,23.0,8.0,2.0,0.0,48.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611597621962,2021-01-25 10:00:21,0.0,80.0,15.0,3.0,2.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611594015365,2021-01-25 09:00:15,0.0,76.0,12.0,6.0,1.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611590417570,2021-01-25 08:00:17,0.0,76.0,6.0,4.0,1.0,0.0,35.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611586822182,2021-01-25 07:00:22,0.0,77.0,2.0,2.0,1.0,0.0,33.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611583221381,2021-01-25 06:00:21,0.0,77.0,0.0,0.0,0.0,0.0,33.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611579623133,2021-01-25 05:00:23,0.0,77.0,0.0,0.0,0.0,0.0,33.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611576023893,2021-01-25 04:00:23,0.0,78.0,0.0,0.0,0.0,0.0,33.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611572420096,2021-01-25 03:00:20,0.0,78.0,0.0,0.0,0.0,0.0,33.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611568827535,2021-01-25 02:00:27,0.0,78.0,0.0,0.0,0.0,0.0,33.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611565220520,2021-01-25 01:00:20,0.0,79.0,0.0,0.0,0.0,0.0,33.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
