Timestamp,Human readable date (America/Los_Angeles),alerts,battery,daily,hourly,maxmin,resets,temp,context_alerts,context_battery,context_daily,context_hourly,context_maxmin,context_resets,context_temp,created_at_alerts,created_at_battery,created_at_daily,created_at_hourly,created_at_maxmin,created_at_resets,created_at_temp
1653530414779,2022-05-25 19:00:14,0.0,84.0,1217.0,9.0,3.0,0.0,73.0,{},{},{},{},{},{},{},1653530414779,1653530414779,1653530414779,1653530414779,1653530414779,1653530414779,1653530414779
1653526815507,2022-05-25 18:00:15,0.0,84.0,1208.0,6.0,2.0,0.0,80.0,{},{},{},{},{},{},{},1653526815507,1653526815507,1653526815507,1653526815507,1653526815507,1653526815507,1653526815507
1653523218697,2022-05-25 17:00:18,0.0,84.0,1202.0,33.0,3.0,0.0,84.0,{},{},{},{},{},{},{},1653523218697,1653523218697,1653523218697,1653523218697,1653523218697,1653523218697,1653523218697
1653519614600,2022-05-25 16:00:14,0.0,85.0,1169.0,99.0,6.0,0.0,86.0,{},{},{},{},{},{},{},1653519614600,1653519614600,1653519614600,1653519614600,1653519614600,1653519614600,1653519614600
1653516016130,2022-05-25 15:00:16,7.0,85.0,1070.0,205.0,12.0,0.0,84.0,{},{},{},{},{},{},{},1653516016130,1653516016130,1653516016130,1653516016130,1653516016130,1653516016130,1653516016130
1653512423871,2022-05-25 14:00:23,4.0,85.0,865.0,298.0,10.0,0.0,89.0,{},{},{},{},{},{},{},1653512423871,1653512423871,1653512423871,1653512423871,1653512423871,1653512423871,1653512423871
1653508814980,2022-05-25 13:00:14,3.0,85.0,567.0,245.0,12.0,0.0,89.0,{},{},{},{},{},{},{},1653508814980,1653508814980,1653508814980,1653508814980,1653508814980,1653508814980,1653508814980
1653505221824,2022-05-25 12:00:21,1.0,85.0,322.0,170.0,10.0,0.0,89.0,{},{},{},{},{},{},{},1653505221824,1653505221824,1653505221824,1653505221824,1653505221824,1653505221824,1653505221824
1653501617403,2022-05-25 11:00:17,0.0,85.0,152.0,94.0,5.0,0.0,89.0,{},{},{},{},{},{},{},1653501617403,1653501617403,1653501617403,1653501617403,1653501617403,1653501617403,1653501617403
1653498022511,2022-05-25 10:00:22,0.0,78.0,58.0,37.0,4.0,0.0,80.0,{},{},{},{},{},{},{},1653498022511,1653498022511,1653498022511,1653498022511,1653498022511,1653498022511,1653498022511
