Timestamp,Human readable date (America/Los_Angeles),alerts,battery,daily,hourly,maxmin,resets,temp,context_alerts,context_battery,context_daily,context_hourly,context_maxmin,context_resets,context_temp,created_at_alerts,created_at_battery,created_at_daily,created_at_hourly,created_at_maxmin,created_at_resets,created_at_temp
1636585429720,2021-11-10 15:03:49,0.0,1.0,8.0,3.0,2.0,1.0,66.0,{},{},{},{},{},{},{},1636585429720,1636585429720,1636585429720,1636585429720,1636585429720,1636585429720,1636585429720
1636581737270,2021-11-10 14:02:17,0.0,1.0,5.0,0.0,0.0,1.0,62.0,{},{},{},{},{},{},{},1636581737270,1636581737270,1636581737270,1636581737270,1636581737270,1636581737270,1636581737270
1636578115650,2021-11-10 13:01:55,0.0,1.0,5.0,4.0,2.0,1.0,60.0,{},{},{},{},{},{},{},1636578115650,1636578115650,1636578115650,1636578115650,1636578115650,1636578115650,1636578115650
1636574425284,2021-11-10 12:00:25,0.0,1.0,1.0,1.0,1.0,1.0,59.0,{},{},{},{},{},{},{},1636574425284,1636574425284,1636574425284,1636574425284,1636574425284,1636574425284,1636574425284
1636570841270,2021-11-10 11:00:41,0.0,0.0,0.0,0.0,0.0,1.0,57.0,{},{},{},{},{},{},{},1636570841270,1636570841270,1636570841270,1636570841270,1636570841270,1636570841270,1636570841270
1636563688550,2021-11-10 09:01:28,0.0,0.0,0.0,0.0,0.0,0.0,50.0,{},{},{},{},{},{},{},1636563688550,1636563688550,1636563688550,1636563688550,1636563688550,1636563688550,1636563688550
1636498806831,2021-11-09 15:00:06,0.0,1.0,3.0,1.0,0.0,4.0,53.0,{},{},{},{},{},{},{},1636498806831,1636498806831,1636498806831,1636498806831,1636498806831,1636498806831,1636498806831
1636488294692,2021-11-09 12:04:54,0.0,1.0,2.0,2.0,1.0,2.0,51.0,{},{},{},{},{},{},{},1636488294692,1636488294692,1636488294692,1636488294692,1636488294692,1636488294692,1636488294692
1636477257059,2021-11-09 09:00:57,0.0,1.0,0.0,0.0,0.0,0.0,44.0,{},{},{},{},{},{},{},1636477257059,1636477257059,1636477257059,1636477257059,1636477257059,1636477257059,1636477257059
1636419623914,2021-11-08 17:00:23,0.0,1.0,47.0,6.0,1.0,3.0,42.0,{},{},{},{},{},{},{},1636419623914,1636419623914,1636419623914,1636419623914,1636419623914,1636419623914,1636419623914
1636416216560,2021-11-08 16:03:36,0.0,1.0,41.0,1.0,1.0,3.0,57.0,{},{},{},{},{},{},{},1636416216560,1636416216560,1636416216560,1636416216560,1636416216560,1636416216560,1636416216560
