Timestamp,Human readable date,alerts,battery,daily,hourly,maxmin,resets,temp,context_alerts,context_battery,context_daily,context_hourly,context_maxmin,context_resets,context_temp
1611594066933,2021-01-25 09:01:06,0.0,6.0,0.0,0.0,0.0,0.0,39.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611536460899,2021-01-24 17:01:00,0.0,8.0,129.0,0.0,0.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611532857802,2021-01-24 16:00:57,0.0,9.0,129.0,1.0,1.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611529222980,2021-01-24 15:00:22,0.0,11.0,128.0,3.0,1.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611525671365,2021-01-24 14:01:11,0.0,12.0,125.0,12.0,4.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611522030762,2021-01-24 13:00:30,0.0,13.0,113.0,18.0,3.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611518520294,2021-01-24 12:02:00,0.0,15.0,95.0,32.0,5.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611514868006,2021-01-24 11:01:08,0.0,14.0,63.0,38.0,5.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611511336362,2021-01-24 10:02:16,0.0,14.0,25.0,20.0,5.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611507623674,2021-01-24 09:00:23,0.0,17.0,5.0,5.0,2.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611504046701,2021-01-24 08:00:46,0.0,18.0,0.0,0.0,0.0,0.0,39.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611500479641,2021-01-24 07:01:19,0.0,20.0,0.0,0.0,0.0,0.0,39.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611496831749,2021-01-24 06:00:31,0.0,22.0,0.0,0.0,0.0,0.0,37.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611493223116,2021-01-24 05:00:23,0.0,23.0,0.0,0.0,0.0,0.0,35.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611489616143,2021-01-24 04:00:16,0.0,26.0,0.0,0.0,0.0,0.0,32.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611457219206,2021-01-23 19:00:19,0.0,28.0,171.0,1.0,1.0,0.0,37.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611453620205,2021-01-23 18:00:20,0.0,29.0,170.0,1.0,1.0,0.0,39.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611450030288,2021-01-23 17:00:30,0.0,31.0,169.0,25.0,4.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611446497107,2021-01-23 16:01:37,0.0,32.0,144.0,12.0,4.0,0.0,48.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611442821722,2021-01-23 15:00:21,0.0,34.0,132.0,24.0,9.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611439259870,2021-01-23 14:00:59,0.0,33.0,108.0,15.0,3.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611435679628,2021-01-23 13:01:19,0.0,30.0,93.0,27.0,6.0,0.0,51.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611432022177,2021-01-23 12:00:22,0.0,23.0,66.0,18.0,4.0,0.0,51.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611428423053,2021-01-23 11:00:23,0.0,12.0,48.0,28.0,7.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611424821981,2021-01-23 10:00:21,0.0,12.0,20.0,18.0,7.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611421222037,2021-01-23 09:00:22,0.0,13.0,2.0,2.0,1.0,0.0,39.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611417631343,2021-01-23 08:00:31,0.0,15.0,0.0,0.0,0.0,0.0,35.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611414021546,2021-01-23 07:00:21,0.0,16.0,0.0,0.0,0.0,0.0,35.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611410429647,2021-01-23 06:00:29,0.0,17.0,0.0,0.0,0.0,0.0,35.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611406830350,2021-01-23 05:00:30,0.0,18.0,0.0,0.0,0.0,0.0,35.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611403221150,2021-01-23 04:00:21,0.0,20.0,0.0,0.0,0.0,0.0,35.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611370819022,2021-01-22 19:00:19,0.0,23.0,19.0,0.0,0.0,0.0,37.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611367217292,2021-01-22 18:00:17,0.0,25.0,19.0,2.0,2.0,0.0,39.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611363616907,2021-01-22 17:00:16,0.0,26.0,17.0,1.0,1.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611360018409,2021-01-22 16:00:18,0.0,27.0,16.0,4.0,2.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611356420921,2021-01-22 15:00:20,0.0,28.0,12.0,0.0,0.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611352831873,2021-01-22 14:00:31,0.0,28.0,12.0,0.0,0.0,0.0,39.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611349248434,2021-01-22 13:00:48,0.0,28.0,12.0,1.0,1.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611345617849,2021-01-22 12:00:17,0.0,21.0,11.0,4.0,1.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611342029195,2021-01-22 11:00:29,0.0,13.0,7.0,0.0,0.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611338419296,2021-01-22 10:00:19,0.0,9.0,7.0,5.0,3.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611334816546,2021-01-22 09:00:16,0.0,10.0,2.0,2.0,2.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611281023205,2021-01-21 18:03:43,0.0,14.0,108.0,7.0,2.0,0.0,50.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611277230295,2021-01-21 17:00:30,0.0,17.0,101.0,10.0,2.0,0.0,50.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611273621363,2021-01-21 16:00:21,0.0,19.0,91.0,14.0,3.0,0.0,55.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611270086162,2021-01-21 15:01:26,0.0,19.0,77.0,30.0,6.0,0.0,60.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611266425267,2021-01-21 14:00:25,0.0,14.0,47.0,11.0,2.0,0.0,59.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611262821010,2021-01-21 13:00:21,0.0,9.0,36.0,11.0,3.0,0.0,60.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611259500287,2021-01-21 12:05:00,0.0,7.0,25.0,11.0,3.0,0.0,66.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611255649214,2021-01-21 11:00:49,0.0,1.0,14.0,6.0,2.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611252022304,2021-01-21 10:00:22,0.0,1.0,8.0,4.0,2.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611248468808,2021-01-21 09:01:08,0.0,1.0,4.0,4.0,1.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611187408234,2021-01-20 16:03:28,0.0,2.0,65.0,22.0,3.0,3.0,64.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611183800370,2021-01-20 15:03:20,0.0,2.0,43.0,19.0,5.0,3.0,69.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611180202112,2021-01-20 14:03:22,0.0,2.0,24.0,5.0,5.0,3.0,69.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611176568884,2021-01-20 13:02:48,0.0,2.0,19.0,3.0,1.0,3.0,68.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611172933033,2021-01-20 12:02:13,0.0,2.0,16.0,16.0,2.0,3.0,71.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611101023965,2021-01-19 16:03:43,0.0,2.0,37.0,6.0,1.0,1.0,55.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611097484497,2021-01-19 15:04:44,0.0,4.0,31.0,31.0,5.0,1.0,59.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611075682131,2021-01-19 09:01:22,0.0,10.0,0.0,0.0,0.0,0.0,35.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611072193478,2021-01-19 08:03:13,0.0,12.0,0.0,0.0,0.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611064849673,2021-01-19 06:00:49,0.0,17.0,0.0,0.0,0.0,0.0,37.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611061228953,2021-01-19 05:00:28,0.0,18.0,0.0,0.0,0.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611057748662,2021-01-19 04:02:28,0.0,20.0,0.0,0.0,0.0,0.0,50.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
