Timestamp,Human readable date (America/Los_Angeles),accuracy,alerts,battery,cellstr,connecttime,new-variable-1,new-variable,daily,hourly,maxmin,resets,temp,towers,context_accuracy,context_alerts,context_battery,context_cellstr,context_connecttime,context_new-variable-1,context_new-variable,context_daily,context_hourly,context_maxmin,context_resets,context_temp,context_towers,created_at_accuracy,created_at_alerts,created_at_battery,created_at_cellstr,created_at_connecttime,created_at_new-variable-1,created_at_new-variable,created_at_daily,created_at_hourly,created_at_maxmin,created_at_resets,created_at_temp,created_at_towers
1653526921000,2022-05-25 18:02:01,,0.0,94.0,,48.0,40.0,5.0,40.0,5.0,2.0,1.0,82.0,,,{},"{""key1"":""Charging""}",,{},{},{},{},{},{},{},{},,,1653526973176,1653526973176,,1653526973176,1653527373913,1653527370103,1653526973176,1653526973176,1653526973176,1653526973176,1653526973176,
1653523201000,2022-05-25 17:00:01,,0.0,96.0,,78.0,35.0,0.0,35.0,0.0,2.0,1.0,82.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},{},{},,,1653523253811,1653523253811,,1653523253811,1653523599416,1653523630459,1653523253811,1653523253811,1653523253811,1653523253811,1653523253811,
1653519346000,2022-05-25 15:55:46,,0.0,96.0,,16.0,35.0,1.0,35.0,1.0,2.0,1.0,82.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},{},{},,,1653519804724,1653519804724,,1653519804724,1653519824777,1653519841630,1653519804724,1653519804724,1653519804724,1653519804724,1653519804724,
1653515800000,2022-05-25 14:56:40,,0.0,95.0,,62.0,34.0,2.0,34.0,2.0,2.0,1.0,84.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},{},{},,,1653516021975,1653516021975,,1653516021975,1653516169847,1653516072231,1653516021975,1653516021975,1653516021975,1653516021975,1653516021975,
1653512400000,2022-05-25 14:00:00,,0.0,96.0,,17.0,32.0,5.0,32.0,5.0,2.0,1.0,91.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},{},{},,,1653512467674,1653512467674,,1653512467674,1653512606045,1653512686583,1653512467674,1653512467674,1653512467674,1653512467674,1653512467674,
1653508790000,2022-05-25 12:59:50,,0.0,98.0,,26.0,27.0,10.0,27.0,10.0,5.0,1.0,80.0,,,{},"{""key1"":""Charging""}",,{},{},{},{},{},{},{},{},,,1653508822786,1653508822786,,1653508822786,1653508849303,1653509295319,1653508822786,1653508822786,1653508822786,1653508822786,1653508822786,
1653504771000,2022-05-25 11:52:51,,0.0,94.0,,31.0,17.0,9.0,17.0,9.0,3.0,1.0,82.0,,,{},"{""key1"":""Charging""}",,{},{},{},{},{},{},{},{},,,1653505231322,1653505231322,,1653505231322,1653505932394,1653505553653,1653505231322,1653505231322,1653505231322,1653505231322,1653505231322,
1653501521000,2022-05-25 10:58:41,,0.0,94.0,,20.0,8.0,2.0,8.0,2.0,2.0,1.0,80.0,,,{},"{""key1"":""Charging""}",,{},{},{},{},{},{},{},{},,,1653501635788,1653501635788,,1653501635788,1653502273866,1653502262929,1653501635788,1653501635788,1653501635788,1653501635788,1653501635788,
1653494757000,2022-05-25 09:05:57,,0.0,95.0,,35.0,6.0,1.0,6.0,1.0,2.0,1.0,77.0,,,{},"{""key1"":""Charging""}",,{},{},{},{},{},{},{},{},,,1653498032998,1653498032998,,1653498032998,1653498476697,1653498472708,1653498032998,1653498032998,1653498032998,1653498032998,1653498032998,
1653492349000,2022-05-25 08:25:49,,0.0,95.0,,60.0,5.0,2.0,5.0,2.0,3.0,1.0,75.0,,,{},"{""key1"":""Charging""}",,{},{},{},{},{},{},{},{},,,1653494439714,1653494439714,,1653494439714,1653494764216,1653494655815,1653494439714,1653494439714,1653494439714,1653494439714,1653494439714,
