Timestamp,Human readable date,alerts,battery,connecttime,new-variable-1,new-variable,daily,hourly,maxmin,resets,temp,context_alerts,context_battery,context_connecttime,context_new-variable-1,context_new-variable,context_daily,context_hourly,context_maxmin,context_resets,context_temp,created_at_alerts,created_at_battery,created_at_connecttime,created_at_new-variable-1,created_at_new-variable,created_at_daily,created_at_hourly,created_at_maxmin,created_at_resets,created_at_temp
1625021724000,2021-06-29 19:55:24,0.0,97.0,229.0,87.0,9.0,87.0,9.0,3.0,0.0,77.0,b'{}',"b'{""key1"":""Charged""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',1625022235818,1625022235818,1625022235818,1625022311996,1625022251971,1625022235818,1625022235818,1625022235818,1625022235818,1625022235818
1625018436000,2021-06-29 19:00:36,0.0,97.0,42.0,78.0,7.0,78.0,7.0,3.0,0.0,78.0,b'{}',"b'{""key1"":""Charged""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',1625018448322,1625018448322,1625018448322,1625018792296,1625018640480,1625018448322,1625018448322,1625018448322,1625018448322,1625018448322
1625014777000,2021-06-29 17:59:37,0.0,97.0,40.0,71.0,13.0,71.0,13.0,4.0,0.0,82.0,b'{}',"b'{""key1"":""Charged""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',1625014846699,1625014846699,1625014846699,1625015071379,1625014988307,1625014846699,1625014846699,1625014846699,1625014846699,1625014846699
1625010649000,2021-06-29 16:50:49,0.0,97.0,16.0,58.0,8.0,58.0,8.0,2.0,0.0,87.0,b'{}',"b'{""key1"":""Charged""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',1625011221119,1625011221119,1625011221119,1625011555908,1625011309617,1625011221119,1625011221119,1625011221119,1625011221119,1625011221119
1625007455000,2021-06-29 15:57:35,0.0,96.0,40.0,50.0,6.0,50.0,6.0,2.0,0.0,84.0,b'{}',"b'{""key1"":""Charged""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',1625007645370,1625007645370,1625007645370,1625008127852,1625007667231,1625007645370,1625007645370,1625007645370,1625007645370,1625007645370
1625003230000,2021-06-29 14:47:10,0.0,97.0,15.0,44.0,9.0,44.0,9.0,2.0,0.0,87.0,b'{}',"b'{""key1"":""Charged""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',1625004020236,1625004020236,1625004020236,1625004356078,1625004190216,1625004020236,1625004020236,1625004020236,1625004020236,1625004020236
1624997966000,2021-06-29 13:19:26,0.0,97.0,39.0,35.0,4.0,35.0,4.0,2.0,0.0,82.0,b'{}',"b'{""key1"":""Charged""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',1625000443740,1625000443740,1625000443740,1625000648988,1625000527142,1625000443740,1625000443740,1625000443740,1625000443740,1625000443740
1624996692000,2021-06-29 12:58:12,0.0,97.0,35.0,31.0,10.0,31.0,10.0,2.0,0.0,77.0,b'{}',"b'{""key1"":""Charging""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',1624996839537,1624996839537,1624996839537,1624997004481,1624996924362,1624996839537,1624996839537,1624996839537,1624996839537,1624996839537
1624991475000,2021-06-29 11:31:15,0.0,96.0,23.0,21.0,6.0,21.0,6.0,3.0,0.0,78.0,b'{}',"b'{""key1"":""Charging""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',1624993227122,1624993227122,1624993227122,1624993233831,1624993390073,1624993227122,1624993227122,1624993227122,1624993227122,1624993227122
1624989274000,2021-06-29 10:54:34,0.0,96.0,16.0,15.0,5.0,15.0,5.0,3.0,0.0,73.0,b'{}',"b'{""key1"":""Charging""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',1624989619367,1624989619367,1624989619367,1624989675098,1624989765487,1624989619367,1624989619367,1624989619367,1624989619367,1624989619367
