Timestamp,Human readable date (America/Los_Angeles),accuracy,alerts,battery,cellstr,connecttime,daily,hourly,maxmin,resets,temp,towers,context_accuracy,context_alerts,context_battery,context_cellstr,context_connecttime,context_daily,context_hourly,context_maxmin,context_resets,context_temp,context_towers,created_at_accuracy,created_at_alerts,created_at_battery,created_at_cellstr,created_at_connecttime,created_at_daily,created_at_hourly,created_at_maxmin,created_at_resets,created_at_temp,created_at_towers
1653480001000,2022-05-25 05:00:01,,0.0,86.0,,23.0,0.0,0.0,2.0,0.0,53.0,,,{},"{""key1"":""Discharging""}",,{},{},{},{},{},{},,,1653516643104,1653516643104,,1653516643104,1653516643104,1653516643104,1653516643104,1653516643104,1653516643104,
1653476400000,2022-05-25 04:00:00,,0.0,86.0,,34.0,0.0,0.0,2.0,0.0,55.0,,,{},"{""key1"":""Discharging""}",,{},{},{},{},{},{},,,1653476427045,1653476427045,,1653476427045,1653476427045,1653476427045,1653476427045,1653476427045,1653476427045,
1653472801000,2022-05-25 03:00:01,,0.0,86.0,,21.0,0.0,0.0,2.0,0.0,57.0,,,{},"{""key1"":""Discharging""}",,{},{},{},{},{},{},,,1653472839229,1653472839229,,1653472839229,1653472839229,1653472839229,1653472839229,1653472839229,1653472839229,
1653469201000,2022-05-25 02:00:01,,0.0,85.0,,20.0,0.0,0.0,2.0,0.0,59.0,,,{},"{""key1"":""Discharging""}",,{},{},{},{},{},{},,,1653469225840,1653469225840,,1653469225840,1653469225840,1653469225840,1653469225840,1653469225840,1653469225840,
1653465601000,2022-05-25 01:00:01,,0.0,86.0,,34.0,0.0,0.0,2.0,0.0,59.0,,,{},"{""key1"":""Discharging""}",,{},{},{},{},{},{},,,1653465625167,1653465625167,,1653465625167,1653465625167,1653465625167,1653465625167,1653465625167,1653465625167,
1653462045504,2022-05-25 00:00:45,2322.0,,,24.74,,,,,,,1.0,{},,,"{""lng"":-121.9758405,""lat"":37.1093717}",,,,,,,{},1653462045504,,,1653462045504,,,,,,,1653462045504
1653462001000,2022-05-25 00:00:01,,13.0,86.0,,274.0,0.0,0.0,2.0,0.0,60.0,,,{},"{""key1"":""Discharging""}",,{},{},{},{},{},{},,,1653462042223,1653462042223,,1653462042223,1653462042223,1653462042223,1653462042223,1653462042223,1653462042223,
1653458582000,2022-05-24 23:03:02,,32.0,,,,,,,,,,,{},,,,,,,,,,,1653462040446,,,,,,,,,
1653458401000,2022-05-24 23:00:01,,0.0,86.0,,27.0,166.0,0.0,2.0,39.0,60.0,,,{},"{""key1"":""Discharging""}",,{},{},{},{},{},{},,,1653462038432,1653462038432,,1653462038432,1653462038432,1653462038432,1653462038432,1653462038432,1653462038432,
1653454423000,2022-05-24 21:53:43,,13.0,86.0,,592.0,166.0,1.0,2.0,39.0,62.0,,,{},"{""key1"":""Discharging""}",,{},{},{},{},{},{},,,1653454883043,1653454883043,,1653454883043,1653454883043,1653454883043,1653454883043,1653454883043,1653454883043,
1653451785000,2022-05-24 21:09:45,,30.0,,,,,,,,,,,{},,,,,,,,,,,1653454881679,,,,,,,,,
1653451418000,2022-05-24 21:03:38,,30.0,,,,,,,,,,,{},,,,,,,,,,,1653454881321,,,,,,,,,
1653448516000,2022-05-24 20:15:16,,31.0,,,,,,,,,,,{},,,,,,,,,,,1653454877786,,,,,,,,,
1653448349000,2022-05-24 20:12:29,,31.0,87.0,,421.0,165.0,1.0,2.0,37.0,64.0,,,{},"{""key1"":""Discharging""}",,{},{},{},{},{},{},,,1653454879356,1653454879356,,1653454879356,1653454879356,1653454879356,1653454879356,1653454879356,1653454879356,
1653448090000,2022-05-24 20:08:10,,32.0,,,,,,,,,,,{},,,,,,,,,,,1653454876540,,,,,,,,,
1653447782000,2022-05-24 20:03:02,,32.0,,,,,,,,,,,{},,,,,,,,,,,1653454876005,,,,,,,,,
1653447218000,2022-05-24 19:53:38,,13.0,87.0,,421.0,164.0,13.0,2.0,35.0,68.0,,,{},"{""key1"":""Discharging""}",,{},{},{},{},{},{},,,1653454873892,1653454873892,,1653454873892,1653454873892,1653454873892,1653454873892,1653454873892,1653454873892,
1653444915000,2022-05-24 19:15:15,,31.0,,,,,,,,,,,{},,,,,,,,,,,1653454872219,,,,,,,,,
1653444489000,2022-05-24 19:08:09,,32.0,,,,,,,,,,,{},,,,,,,,,,,1653454871898,,,,,,,,,
1653444182000,2022-05-24 19:03:02,,32.0,,,,,,,,,,,{},,,,,,,,,,,1653454871933,,,,,,,,,
1653443580000,2022-05-24 18:53:00,,13.0,88.0,,0.0,151.0,19.0,2.0,32.0,73.0,,,{},"{""key1"":""Charging""}",,{},{},{},{},{},{},,,1653454868527,1653454868527,,1653454868527,1653454868527,1653454868527,1653454868527,1653454868527,1653454868527,
1653441345000,2022-05-24 18:15:45,,30.0,,,,,,,,,,,{},,,,,,,,,,,1653454868490,,,,,,,,,
1653440889000,2022-05-24 18:08:09,,32.0,,,,,,,,,,,{},,,,,,,,,,,1653454868474,,,,,,,,,
