Timestamp,Human readable date,alerts,battery,daily,hourly,maxmin,resets,temp,context_alerts,context_battery,context_daily,context_hourly,context_maxmin,context_resets,context_temp
1611594016133,2021-01-25 09:00:16,0.0,3.0,3.0,3.0,1.0,0.0,33.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611536422077,2021-01-24 17:00:22,0.0,4.0,535.0,3.0,2.0,0.0,39.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611532834444,2021-01-24 16:00:34,0.0,4.0,532.0,13.0,2.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611529216829,2021-01-24 15:00:16,0.0,5.0,519.0,19.0,4.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611525627785,2021-01-24 14:00:27,0.0,5.0,500.0,29.0,3.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611522017394,2021-01-24 13:00:17,0.0,5.0,471.0,80.0,6.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611518417951,2021-01-24 12:00:17,0.0,6.0,391.0,137.0,8.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611514823426,2021-01-24 11:00:23,0.0,5.0,254.0,118.0,7.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611511217732,2021-01-24 10:00:17,0.0,5.0,136.0,99.0,6.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611507616290,2021-01-24 09:00:16,0.0,6.0,37.0,37.0,5.0,0.0,39.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611450015856,2021-01-23 17:00:15,0.0,7.0,910.0,45.0,3.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611446418245,2021-01-23 16:00:18,0.0,9.0,865.0,92.0,5.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611442823527,2021-01-23 15:00:23,0.0,11.0,773.0,93.0,7.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611439229766,2021-01-23 14:00:29,0.0,10.0,680.0,117.0,7.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611435614934,2021-01-23 13:00:14,1.0,8.0,563.0,142.0,10.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611432019874,2021-01-23 12:00:19,0.0,6.0,421.0,139.0,6.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611428417208,2021-01-23 11:00:17,0.0,3.0,282.0,138.0,7.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611424816330,2021-01-23 10:00:16,0.0,3.0,144.0,103.0,7.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611421218975,2021-01-23 09:00:18,0.0,3.0,41.0,41.0,6.0,0.0,37.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611363617507,2021-01-22 17:00:17,0.0,5.0,93.0,11.0,3.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611360016060,2021-01-22 16:00:16,0.0,5.0,82.0,10.0,2.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611356417474,2021-01-22 15:00:17,0.0,6.0,72.0,8.0,2.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611352818144,2021-01-22 14:00:18,0.0,6.0,64.0,6.0,1.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611349215009,2021-01-22 13:00:15,0.0,6.0,58.0,16.0,2.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611345617809,2021-01-22 12:00:17,0.0,5.0,42.0,15.0,2.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611342021608,2021-01-22 11:00:21,0.0,2.0,27.0,8.0,2.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611338421653,2021-01-22 10:00:21,0.0,2.0,19.0,12.0,2.0,0.0,44.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611334820478,2021-01-22 09:00:20,0.0,2.0,7.0,7.0,2.0,0.0,39.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611277231312,2021-01-21 17:00:31,0.0,3.0,276.0,51.0,4.0,0.0,48.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611273615991,2021-01-21 16:00:15,0.0,3.0,225.0,56.0,4.0,0.0,51.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611270021346,2021-01-21 15:00:21,0.0,4.0,169.0,34.0,3.0,0.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611266415826,2021-01-21 14:00:15,0.0,4.0,135.0,41.0,4.0,0.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611262815353,2021-01-21 13:00:15,0.0,2.0,94.0,33.0,3.0,0.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611259219889,2021-01-21 12:00:19,0.0,2.0,61.0,20.0,2.0,0.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611255619856,2021-01-21 11:00:19,0.0,2.0,41.0,18.0,3.0,0.0,48.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611252022971,2021-01-21 10:00:22,0.0,2.0,23.0,18.0,3.0,0.0,42.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611248420481,2021-01-21 09:00:20,0.0,1.0,5.0,5.0,2.0,0.0,41.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611190816628,2021-01-20 17:00:16,0.0,2.0,255.0,36.0,3.0,1.0,51.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611187258826,2021-01-20 16:00:58,0.0,2.0,219.0,96.0,3.0,1.0,57.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611183674860,2021-01-20 15:01:14,0.0,2.0,165.0,42.0,3.0,0.0,57.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611183641274,2021-01-20 15:00:41,0.0,2.0,165.0,42.0,3.0,0.0,57.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611180015214,2021-01-20 14:00:15,0.0,2.0,123.0,42.0,5.0,0.0,59.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611176416446,2021-01-20 13:00:16,0.0,2.0,81.0,30.0,2.0,0.0,59.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611172822835,2021-01-20 12:00:22,0.0,2.0,51.0,18.0,2.0,0.0,59.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611169215699,2021-01-20 11:00:15,0.0,2.0,33.0,17.0,2.0,0.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611165615567,2021-01-20 10:00:15,0.0,2.0,16.0,13.0,3.0,0.0,48.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611162019925,2021-01-20 09:00:19,0.0,1.0,3.0,3.0,1.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611104415060,2021-01-19 17:00:15,0.0,2.0,72.0,35.0,3.0,2.0,50.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611100880348,2021-01-19 16:01:20,0.0,2.0,53.0,16.0,1.0,1.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611100853982,2021-01-19 16:00:53,0.0,2.0,53.0,16.0,1.0,1.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611097275334,2021-01-19 15:01:15,0.0,2.0,43.0,6.0,1.0,0.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611097250795,2021-01-19 15:00:50,0.0,2.0,43.0,6.0,1.0,0.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611093619199,2021-01-19 14:00:19,0.0,2.0,37.0,7.0,2.0,0.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611090015058,2021-01-19 13:00:15,0.0,2.0,30.0,14.0,2.0,0.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611086420214,2021-01-19 12:00:20,0.0,3.0,16.0,8.0,2.0,0.0,53.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611082814829,2021-01-19 11:00:14,0.0,2.0,8.0,3.0,1.0,0.0,50.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611079217291,2021-01-19 10:00:17,0.0,2.0,5.0,5.0,2.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611075621593,2021-01-19 09:00:21,0.0,1.0,0.0,0.0,0.0,0.0,46.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611018080118,2021-01-18 17:01:20,0.0,2.0,512.0,40.0,4.0,0.0,57.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611018053667,2021-01-18 17:00:53,0.0,2.0,512.0,40.0,4.0,0.0,57.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611014420535,2021-01-18 16:00:20,0.0,2.0,472.0,51.0,6.0,0.0,59.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611010816515,2021-01-18 15:00:16,0.0,2.0,421.0,57.0,4.0,0.0,62.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611007218203,2021-01-18 14:00:18,0.0,2.0,364.0,72.0,5.0,0.0,60.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611003615001,2021-01-18 13:00:15,0.0,2.0,292.0,82.0,7.0,0.0,60.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611000053541,2021-01-18 12:00:53,0.0,2.0,210.0,84.0,7.0,0.0,62.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1611000053482,2021-01-18 12:00:53,0.0,2.0,210.0,84.0,7.0,0.0,62.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610996421050,2021-01-18 11:00:21,0.0,2.0,126.0,80.0,6.0,0.0,57.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610992827498,2021-01-18 10:00:27,0.0,1.0,46.0,46.0,4.0,0.0,55.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610928062067,2021-01-17 16:01:02,0.0,2.0,670.0,72.0,4.0,0.0,60.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610924414381,2021-01-17 15:00:14,0.0,2.0,598.0,56.0,4.0,0.0,62.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610920822383,2021-01-17 14:00:22,0.0,2.0,542.0,72.0,5.0,0.0,62.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610917216647,2021-01-17 13:00:16,0.0,2.0,470.0,116.0,9.0,0.0,62.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610913614913,2021-01-17 12:00:14,0.0,2.0,354.0,118.0,7.0,0.0,64.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610910014938,2021-01-17 11:00:14,0.0,2.0,236.0,131.0,9.0,0.0,57.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610906423914,2021-01-17 10:00:23,0.0,1.0,105.0,105.0,6.0,0.0,51.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610841630256,2021-01-16 16:00:30,0.0,2.0,904.0,65.0,5.0,0.0,55.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610838023798,2021-01-16 15:00:23,0.0,2.0,839.0,85.0,7.0,0.0,59.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610834416523,2021-01-16 14:00:16,0.0,2.0,754.0,123.0,9.0,0.0,60.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610830881005,2021-01-16 13:01:21,0.0,2.0,631.0,136.0,7.0,0.0,60.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610830853499,2021-01-16 13:00:53,0.0,2.0,631.0,136.0,7.0,0.0,60.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610827214209,2021-01-16 12:00:14,2.0,2.0,495.0,170.0,10.0,0.0,62.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1610823628904,2021-01-16 11:00:28,0.0,2.0,325.0,180.0,8.0,0.0,55.0,b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
