Timestamp,Human readable date (America/Los_Angeles),alerts,battery,daily,hourly,maxmin,resets,temp,context_alerts,context_battery,context_daily,context_hourly,context_maxmin,context_resets,context_temp,created_at_alerts,created_at_battery,created_at_daily,created_at_hourly,created_at_maxmin,created_at_resets,created_at_temp
1653526812589,2022-05-25 18:00:12,0.0,94.0,301.0,55.0,6.0,0.0,60.0,{},{},{},{},{},{},{},1653526812589,1653526812589,1653526812589,1653526812589,1653526812589,1653526812589,1653526812589
1653523218277,2022-05-25 17:00:18,0.0,94.0,246.0,41.0,4.0,0.0,62.0,{},{},{},{},{},{},{},1653523218277,1653523218277,1653523218277,1653523218277,1653523218277,1653523218277,1653523218277
1653519618306,2022-05-25 16:00:18,0.0,95.0,205.0,35.0,4.0,0.0,68.0,{},{},{},{},{},{},{},1653519618306,1653519618306,1653519618306,1653519618306,1653519618306,1653519618306,1653519618306
1653516017140,2022-05-25 15:00:17,0.0,95.0,170.0,17.0,2.0,0.0,75.0,{},{},{},{},{},{},{},1653516017140,1653516017140,1653516017140,1653516017140,1653516017140,1653516017140,1653516017140
1653512413880,2022-05-25 14:00:13,0.0,95.0,153.0,27.0,3.0,0.0,80.0,{},{},{},{},{},{},{},1653512413880,1653512413880,1653512413880,1653512413880,1653512413880,1653512413880,1653512413880
1653508813202,2022-05-25 13:00:13,0.0,96.0,126.0,21.0,2.0,0.0,77.0,{},{},{},{},{},{},{},1653508813202,1653508813202,1653508813202,1653508813202,1653508813202,1653508813202,1653508813202
1653505218743,2022-05-25 12:00:18,0.0,93.0,105.0,26.0,4.0,0.0,73.0,{},{},{},{},{},{},{},1653505218743,1653505218743,1653505218743,1653505218743,1653505218743,1653505218743,1653505218743
1653501613123,2022-05-25 11:00:13,0.0,89.0,79.0,14.0,3.0,0.0,68.0,{},{},{},{},{},{},{},1653501613123,1653501613123,1653501613123,1653501613123,1653501613123,1653501613123,1653501613123
1653498012990,2022-05-25 10:00:12,0.0,88.0,65.0,18.0,3.0,0.0,59.0,{},{},{},{},{},{},{},1653498012990,1653498012990,1653498012990,1653498012990,1653498012990,1653498012990,1653498012990
1653494414368,2022-05-25 09:00:14,0.0,89.0,47.0,22.0,4.0,0.0,55.0,{},{},{},{},{},{},{},1653494414368,1653494414368,1653494414368,1653494414368,1653494414368,1653494414368,1653494414368
1653490815075,2022-05-25 08:00:15,0.0,89.0,25.0,12.0,2.0,0.0,55.0,{},{},{},{},{},{},{},1653490815075,1653490815075,1653490815075,1653490815075,1653490815075,1653490815075,1653490815075
1653487215408,2022-05-25 07:00:15,0.0,89.0,13.0,7.0,2.0,0.0,55.0,{},{},{},{},{},{},{},1653487215408,1653487215408,1653487215408,1653487215408,1653487215408,1653487215408,1653487215408
1653483615136,2022-05-25 06:00:15,0.0,90.0,6.0,2.0,1.0,0.0,57.0,{},{},{},{},{},{},{},1653483615136,1653483615136,1653483615136,1653483615136,1653483615136,1653483615136,1653483615136
1653480024780,2022-05-25 05:00:24,0.0,90.0,4.0,0.0,0.0,0.0,59.0,{},{},{},{},{},{},{},1653480024780,1653480024780,1653480024780,1653480024780,1653480024780,1653480024780,1653480024780
1653476418886,2022-05-25 04:00:18,0.0,90.0,4.0,0.0,0.0,0.0,62.0,{},{},{},{},{},{},{},1653476418886,1653476418886,1653476418886,1653476418886,1653476418886,1653476418886,1653476418886
1653472820929,2022-05-25 03:00:20,0.0,90.0,4.0,0.0,0.0,0.0,62.0,{},{},{},{},{},{},{},1653472820929,1653472820929,1653472820929,1653472820929,1653472820929,1653472820929,1653472820929
1653469225500,2022-05-25 02:00:25,0.0,90.0,4.0,0.0,0.0,0.0,64.0,{},{},{},{},{},{},{},1653469225500,1653469225500,1653469225500,1653469225500,1653469225500,1653469225500,1653469225500
1653465626334,2022-05-25 01:00:26,0.0,91.0,4.0,0.0,0.0,0.0,64.0,{},{},{},{},{},{},{},1653465626334,1653465626334,1653465626334,1653465626334,1653465626334,1653465626334,1653465626334
1653462018424,2022-05-25 00:00:18,0.0,91.0,4.0,0.0,0.0,0.0,64.0,{},{},{},{},{},{},{},1653462018424,1653462018424,1653462018424,1653462018424,1653462018424,1653462018424,1653462018424
1653458422259,2022-05-24 23:00:22,0.0,91.0,4.0,0.0,0.0,0.0,64.0,{},{},{},{},{},{},{},1653458422259,1653458422259,1653458422259,1653458422259,1653458422259,1653458422259,1653458422259
1653454821597,2022-05-24 22:00:21,0.0,91.0,4.0,0.0,0.0,0.0,66.0,{},{},{},{},{},{},{},1653454821597,1653454821597,1653454821597,1653454821597,1653454821597,1653454821597,1653454821597
1653451247506,2022-05-24 21:00:47,0.0,91.0,4.0,4.0,1.0,0.0,68.0,{},{},{},{},{},{},{},1653451247506,1653451247506,1653451247506,1653451247506,1653451247506,1653451247506,1653451247506
1653447618393,2022-05-24 20:00:18,0.0,92.0,286.0,16.0,3.0,0.0,69.0,{},{},{},{},{},{},{},1653447618393,1653447618393,1653447618393,1653447618393,1653447618393,1653447618393,1653447618393
1653444020251,2022-05-24 19:00:20,0.0,92.0,270.0,46.0,4.0,0.0,71.0,{},{},{},{},{},{},{},1653444020251,1653444020251,1653444020251,1653444020251,1653444020251,1653444020251,1653444020251
1653440416161,2022-05-24 18:00:16,0.0,93.0,224.0,56.0,6.0,0.0,73.0,{},{},{},{},{},{},{},1653440416161,1653440416161,1653440416161,1653440416161,1653440416161,1653440416161,1653440416161
1653436814608,2022-05-24 17:00:14,0.0,93.0,168.0,33.0,7.0,0.0,77.0,{},{},{},{},{},{},{},1653436814608,1653436814608,1653436814608,1653436814608,1653436814608,1653436814608,1653436814608
