Timestamp,Human readable date (America/Los_Angeles),accuracy,alerts,battery,cellstr,connecttime,daily,hourly,maxmin,resets,temp,towers,context_accuracy,context_alerts,context_battery,context_cellstr,context_connecttime,context_daily,context_hourly,context_maxmin,context_resets,context_temp,context_towers,created_at_accuracy,created_at_alerts,created_at_battery,created_at_cellstr,created_at_connecttime,created_at_daily,created_at_hourly,created_at_maxmin,created_at_resets,created_at_temp,created_at_towers
1653526245000,2022-05-25 17:50:45,,0.0,96.0,,15.0,67.0,2.0,2.0,0.0,77.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},,,1653526846956,1653526846956,,1653526846956,1653526846956,1653526846956,1653526846956,1653526846956,1653526846956,
1653522815000,2022-05-25 16:53:35,,0.0,97.0,,15.0,65.0,11.0,2.0,0.0,80.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},,,1653523227654,1653523227654,,1653523227654,1653523227654,1653523227654,1653523227654,1653523227654,1653523227654,
1653518969000,2022-05-25 15:49:29,,0.0,97.0,,16.0,54.0,19.0,2.0,0.0,77.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},,,1653519626396,1653519626396,,1653519626396,1653519626396,1653519626396,1653519626396,1653519626396,1653519626396,
1653515672000,2022-05-25 14:54:32,,0.0,96.0,,15.0,35.0,5.0,2.0,0.0,75.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},,,1653516024794,1653516024794,,1653516024794,1653516024794,1653516024794,1653516024794,1653516024794,1653516024794,
1653511289000,2022-05-25 13:41:29,,0.0,97.0,,16.0,30.0,8.0,2.0,0.0,75.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},,,1653512423535,1653512423535,,1653512423535,1653512423535,1653512423535,1653512423535,1653512423535,1653512423535,
1653508557000,2022-05-25 12:55:57,,0.0,97.0,,34.0,22.0,7.0,2.0,0.0,73.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},,,1653508823817,1653508823817,,1653508823817,1653508823817,1653508823817,1653508823817,1653508823817,1653508823817,
1653504381000,2022-05-25 11:46:21,,0.0,97.0,,34.0,15.0,2.0,2.0,0.0,71.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},,,1653505240883,1653505240883,,1653505240883,1653505240883,1653505240883,1653505240883,1653505240883,1653505240883,
1653499707000,2022-05-25 10:28:27,,0.0,96.0,,17.0,13.0,3.0,3.0,0.0,69.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},,,1653501641128,1653501641128,,1653501641128,1653501641128,1653501641128,1653501641128,1653501641128,1653501641128,
1653496930000,2022-05-25 09:42:10,,0.0,96.0,,15.0,10.0,8.0,2.0,0.0,69.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},,,1653498023348,1653498023348,,1653498023348,1653498023348,1653498023348,1653498023348,1653498023348,1653498023348,
1653493242000,2022-05-25 08:40:42,,0.0,97.0,,16.0,2.0,1.0,2.0,0.0,68.0,,,{},"{""key1"":""Charged""}",,{},{},{},{},{},{},,,1653494420759,1653494420759,,1653494420759,1653494420759,1653494420759,1653494420759,1653494420759,1653494420759,
1653490801000,2022-05-25 08:00:01,,0.0,94.0,,20.0,1.0,0.0,2.0,0.0,60.0,,,{},"{""key1"":""Charging""}",,{},{},{},{},{},{},,,1653490821760,1653490821760,,1653490821760,1653490821760,1653490821760,1653490821760,1653490821760,1653490821760,
